Estacion,Longitud,Latitud,Evel,Nvel,Uvel,Magnitud,Direccion,PAIS
ABCC,-74.126925,4.661227,-1.07,16.9,0,16.9338389,-3.622767015,COLOMBIA
ABPD,-74.098864,4.476554,0.84,15.89,0,15.91218715,3.026035083,COLOMBIA
ABPW,-73.995111,4.689564,2.42,15.34,0,15.52971346,8.964954443,COLOMBIA
AGCA,-73.595417,8.31505,9.12,14.27,0,16.93538603,32.58276855,COLOMBIA
AGUA,-73.595366,8.315239,7.78,17,0,18.69567865,24.59106181,COLOMBIA
ALBE,-73.389429,7.76054,8.62,14.31,0,16.70570262,31.06374906,COLOMBIA
ALEC,-79,-2,5.27,6.38,0,8.275101208,39.55734708,ECUADOR
AMCO,-65.333979,-4.871988,-4,11.6,0,12.27028932,-19.02560604,BRASIL
AMTE,-64.70665,-3.345689,-5.7,12.8,0,14.01178076,-24.00400765,BRASIL
ANDS,-81.700731,12.586346,12.62,6.75,0,14.31177487,61.85921973,COLOMBIA
APTO,-76.632392,7.877787,16.27,13.14,0,20.91345261,51.07491559,COLOMBIA
ARCA,-70.75853,7.08428,-4.06,11.8,0,12.47892624,-18.98669041,COLOMBIA
AZUE,-80.432516,7.955687,13.4,1.7,0,13.50740538,82.76975736,PANAMA
BANS,-70.2386,8.6126,10.4,1.5,0,10.50761629,81.79278359,VENEZUELA
BECE,-73.279272,9.702128,1.35,11.55,0,11.62862847,6.666659891,COLOMBIA
BEJA,-73.875589,7.060639,4.95,14.97,0,15.76716208,18.29705311,COLOMBIA
BERR,-74.410311,6.492683,4.99,14.84,0,15.65649067,18.58539185,COLOMBIA
BNGA,-73.123732,7.104899,2.63,14.98,0,15.20911898,9.957787358,COLOMBIA
BOGA,-74.079949,4.638679,-4.6,22.43,0,22.89683166,-11.58966125,COLOMBIA
BOGT ,-74.08094,4.640073,-0.65,17.2,0,17.21227759,-2.164217607,COLOMBIA
BOSC,-73.886236,9.966902,8.4,17.15,0,19.09666201,26.09542416,COLOMBIA
BQLA,-74.849633,11.019719,9.54,15.7,0,18.37121662,31.28467801,COLOMBIA
BUCA,-73.119281,7.118933,4.42,19.75,0,20.23854985,12.61478663,COLOMBIA
BUEN,-77.01042,3.882024,5.65,15.64,0,16.62925434,19.86241584,COLOMBIA
CALI,-76.532565,3.375785,3.83,15.23,0,15.70419689,14.11588234,COLOMBIA
CANO,-67.482122,6.185215,-4.72,12.85,0,13.68944484,-20.16904986,COLOMBIA
CART,-75.533874,10.391359,12.85,13.03,0,18.30036612,44.6015041,COLOMBIA
CASI,-75.200036,7.988844,9.49,14.93,0,17.69081683,32.44138438,COLOMBIA
CHEC,-77.814,-0.339,4.78,11.3,0,12.26940911,22.92879218,ECUADOR
CLEC,-79.956,-4.103,-0.54,3.83,0,3.867880557,-8.025356987,ECUADOR
COEC,-77.787,0.716,5.67,11.15,0,12.50885287,26.95425499,ECUADOR
CRCS,-66.913516,10.502531,-0.5,12.2,0,12.2102416,-2.346874292,VENEZUELA
CUCU,-72.487939,7.898471,3.63,15.18,0,15.60798834,13.44861505,COLOMBIA
CUEC,-79.003,-2.883,-0.26,7.96,0,7.964245099,-1.870805058,ECUADOR
CXEC,-78.615,-0.935,4.35,9.39,0,10.34865209,24.8563453,ECUADOR
DARI,-78.154,8.6583,17.3,13.4,0,21.88264152,52.2398374,PANAMA
DORA,-74.663317,5.453847,3.519,16.19,0,16.56802526,12.2628637,COLOMBIA
ECEC,-79.452,-0.272,12.32,14.5,0,19.02714902,40.35306457,ECUADOR
EPEC,-78.446,-0.315,5.01,8.31,0,9.703411771,31.08527444,ECUADOR
EREC,-78.651,-1.671,5.07,5.07,0,7.170062761,45,ECUADOR
ESMR,-79.724,0.935,17.21,15.92,0,23.44419971,47.22982905,ECUADOR
FLOR,-75.604498,1.620277,-3.36,9.86,0,10.41677493,-18.81761076,COLOMBIA
FQNE,-73.734809,5.467342,1.778,18.33,0,18.41603063,5.540326623,COLOMBIA
GARA,-73.360041,5.081344,1.165,13.36,0,13.41069815,4.983620071,COLOMBIA
GLPS,-90.181,-0.444,50.77,10.62,0,51.8688471,78.18530059,ECUADOR
GVRE,-72.641225,2.571681,-3.35,10.64,0,11.15491372,-17.47658882,COLOMBIA
GYEC,-79.892,-2.149,5.9,9.45,0,11.14057898,31.97812547,ECUADOR
GZEC,-78.581,-3.401,-0.24,6.33,0,6.334548129,-2.171311791,ECUADOR
IBAG,-75.214727,4.428047,0.896,16.94,0,16.96367932,3.027699219,COLOMBIA
IBEC,-79.116,0.35,4.94,13.08,0,13.98177385,20.69033945,ECUADOR
IGN1,-79.535754,8.984886,17.7,14.3,0,22.75477972,51.06492245,PANAMA
IQUI,-73.268709,-3.767345,-3.6,10.8,0,11.38419958,-18.43494882,PERU
LJEC,-79.199,-3.988,-1.02,7.82,0,7.886241183,-7.431407971,ECUADOR
