   Estacion   Longitud    Latitud    Evel    Nvel    Uvel   Magnitud   Direccion  grupo
0      ABCC -74.126925   4.661227  -1.280  16.890 -26.200  16.938433  355.666153      3
1      ABPD -74.098864   4.476554   0.760  15.900   0.360  15.918153    2.736583      0
2      ABPW -73.995111   4.689564   2.710  15.300   1.780  15.538150   10.044293      0
3      AGCA -73.595417   8.315050   8.940  14.290   1.220  16.856088   32.030605      2
4      AGUA -73.595366   8.315239   7.560  17.400   0.180  18.971389   23.484115      0
5      ALBE -73.389429   7.760540   9.000  14.310  -0.790  16.654324   30.769054      2
6      ANDS -81.700731  12.586346  13.560   6.759   0.120  15.151161   63.505979      2
7      APTO -76.632392   7.877787  16.280  13.130  -6.870  20.914954   51.113440      2
8      ARCA -70.758530   7.084280  -4.190  11.800  -2.030  12.521825  340.450826      1
9      BECE -73.279272   9.702128   2.040  12.000  -6.640  12.349656    9.508086      0
10     BEJA -73.875589   7.060639   4.870  14.890  -4.010  15.666174   18.111117      0
11     BERR -74.410311   6.492683   4.920  14.880  -1.500  15.672294   18.296218      0
12     BNGA -73.123732   7.104899   2.720  14.940   3.040  15.185585   10.318345      0
13     BOGA -74.079949   4.638679  -4.630  22.420 -48.400  22.893084  348.331759      3
14     BOGT -74.080940   4.640073  -0.170  17.240 -40.600  17.240838  359.435037      3
15     BOSC -73.886236   9.966902   8.830  16.990   1.080  19.147559   27.461688      2
16     BQLA -74.849633  11.019719   9.470  15.700  -2.560  18.334964   31.097738      2
17     BUCA -73.119281   7.118933   5.110  19.900   0.350  20.545610   14.401481      0
18     BUEN -77.010420   3.882024   4.730  15.420  -0.180  16.129144   17.053106      0
19     CALI -76.532565   3.375785   3.800  15.190  -4.770  15.658100   14.045118      0
20     CANO -67.482122   6.185215  -4.880  12.790  -1.090  13.689357  339.115742      1
21     CART -75.533874  10.391359  12.820  13.020  -1.550  18.272187   44.556543      2
22     CASI -75.200036   7.988844   9.470  14.920  -0.530  17.671652   32.404052      2
23     CUCU -72.487939   7.898471   3.720  15.130  -5.500  15.580607   13.813269      0
24     DORA -74.663317   5.453847   3.450  16.210  -3.960  16.573069   12.015076      0
25     FLOR -75.604498   1.620277  -3.580   9.770  -2.810  10.405253  339.875760      1
26     FQNE -73.734809   5.467342  -0.210  14.290  -0.640  14.291543  359.158065      1
27     GARA -73.360041   5.081344   1.150  13.310  -1.250  13.359588    4.938161      0
28     GUAV -72.642158   2.573244 -17.200   9.897 -58.800  19.844158  299.916423      3
29     GVRE -72.641225   2.571681  -2.300  12.030   1.861  12.247894  349.176313      1
30     IBAG -75.214727   4.428047   0.940  16.950   0.180  16.976045    3.174214      0
31     MAGA -74.759800   9.239863  10.040  14.660  -5.130  17.768433   34.405557      2
32     MEDE -75.578897   6.199453   4.310  16.970   6.510  17.508769   14.250536      0
33     MOTE -75.860670   8.791965  12.890  12.340  -1.800  17.844543   46.248818      2
34     NEVA -75.293032   2.937299   1.300  15.600  -1.330  15.654073    4.763642      0
35     PAMP -72.647790   7.384180   4.588  14.770  -3.570  15.466177   17.256344      0
36     PERA -75.689526   4.792500  -0.260  15.810  -2.770  15.812138  359.057839      1
37     POPA -76.601206   2.443113   4.430  14.750  -2.070  15.400890   16.717061      0
38     PSTO -77.277082   1.211709   3.470  15.450  -2.190  15.834879   12.658321      0
39     QUIB -76.656731   5.699637   1.260  16.520  -7.010  16.567981    4.361573      0
40     RIOH -72.869699  11.513221  10.310  16.530  -3.420  19.481709   31.952386      2
41     RUBI -71.423764   3.793398  -3.750  10.520   1.437  11.168388  340.380685      1
42     SAMA -74.187095  11.225252  10.840  15.850  -6.980  19.202294   34.368680      2
43     SINC -75.387688   9.315625  11.530  12.290  -2.600  16.851855   43.172543      2
44     SNSN -75.308342   5.715076   5.090  15.340  -3.930  16.162416   18.356477      0
45     TUMA -78.730413   1.822289  14.680  12.890   3.720  19.535980   48.714752      2
46     TUNA -73.363890   5.531339   1.040  14.720  -5.540  14.756693    4.041356      0
47     VALL -73.251960  10.473964   8.650  15.240  -4.160  17.523701   29.578607      2
48     VIVI -73.583996   4.074673   1.780  13.230  -2.920  13.348540    7.641444      0
49     YOPA -72.388994   5.321760  -3.060  12.720   0.477  13.082890  346.473605      1
50     ZARZ -76.067578   4.396617   4.290  15.320   2.380  15.909321   15.643634      0
