   Estacion   Longitud    Latitud    Evel   Nvel  Uvel   Magnitud  Direccion  grupo
0      ABCC -74.126925   4.661227  -1.070  16.90     0  16.933839  -3.622767      2
1      ABPD -74.098864   4.476554   0.840  15.89     0  15.912187   3.026035      2
2      ABPW -73.995111   4.689564   2.420  15.34     0  15.529713   8.964954      2
3      AGCA -73.595417   8.315050   9.120  14.27     0  16.935386  32.582769      1
4      AGUA -73.595366   8.315239   7.780  17.00     0  18.695679  24.591062      2
5      ALBE -73.389429   7.760540   8.620  14.31     0  16.705703  31.063749      1
6      ALEC -79.000000  -2.000000   5.270   6.38     0   8.275101  39.557347      1
7      AMCO -65.333979  -4.871988  -4.000  11.60     0  12.270289 -19.025606      0
8      AMTE -64.706650  -3.345689  -5.700  12.80     0  14.011781 -24.004008      0
9      ANDS -81.700731  12.586346  12.620   6.75     0  14.311775  61.859220      1
10     APTO -76.632392   7.877787  16.270  13.14     0  20.913453  51.074916      1
11     ARCA -70.758530   7.084280  -4.060  11.80     0  12.478926 -18.986690      0
12     AZUE -80.432516   7.955687  13.400   1.70     0  13.507405  82.769757      1
13     BANS -70.238600   8.612600  10.400   1.50     0  10.507616  81.792784      1
14     BECE -73.279272   9.702128   1.350  11.55     0  11.628628   6.666660      2
15     BEJA -73.875589   7.060639   4.950  14.97     0  15.767162  18.297053      2
16     BERR -74.410311   6.492683   4.990  14.84     0  15.656491  18.585392      2
17     BNGA -73.123732   7.104899   2.630  14.98     0  15.209119   9.957787      2
18     BOGA -74.079949   4.638679  -4.600  22.43     0  22.896832 -11.589661      0
19    BOGT  -74.080940   4.640073  -0.650  17.20     0  17.212278  -2.164218      2
20     BOSC -73.886236   9.966902   8.400  17.15     0  19.096662  26.095424      2
21     BQLA -74.849633  11.019719   9.540  15.70     0  18.371217  31.284678      1
22     BUCA -73.119281   7.118933   4.420  19.75     0  20.238550  12.614787      2
23     BUEN -77.010420   3.882024   5.650  15.64     0  16.629254  19.862416      2
24     CALI -76.532565   3.375785   3.830  15.23     0  15.704197  14.115882      2
25     CANO -67.482122   6.185215  -4.720  12.85     0  13.689445 -20.169050      0
26     CART -75.533874  10.391359  12.850  13.03     0  18.300366  44.601504      1
27     CASI -75.200036   7.988844   9.490  14.93     0  17.690817  32.441384      1
28     CHEC -77.814000  -0.339000   4.780  11.30     0  12.269409  22.928792      2
29     CLEC -79.956000  -4.103000  -0.540   3.83     0   3.867881  -8.025357      0
..      ...        ...        ...     ...    ...   ...        ...        ...    ...
62     NJEC -79.621000  -2.675000   5.570   6.80     0   8.790046  39.321510      1
63    PAMP  -72.647790   7.384180   4.649  14.57     0  15.293728  17.696859      2
64     PDEC -79.131000  -4.648000   1.740   6.29     0   6.526232  15.463018      2
65     PERA -75.689526   4.792500   0.780  16.04     0  16.058954   2.784011      2
66     PJEC -80.425000  -1.552000  16.050   9.75     0  18.779377  58.722297      1
67     POPA -76.601206   2.443113   4.469  14.76     0  15.421724  16.845146      2
68     PREC -77.963000  -1.708000  -1.030   4.28     0   4.402193 -13.531170      0
69     PSTO -77.277082   1.211709   4.251  15.44     0  16.014512  15.393500      2
70     QUEM -78.497000  -0.237000   9.480  14.38     0  17.223670  33.394826      1
71     QUI1 -78.494000  -0.215000  12.790   6.95     0  14.556325  61.480641      1
72     QUIB -76.656731   5.699637   3.841  16.03     0  16.483755  13.474778      2
73     QVEC -79.470000  -1.012000   8.740   8.13     0  11.936687  47.070848      1
74     RIOH -72.869699  11.513221  10.270  16.54     0  19.469065  31.836931      1
75     RIOP -78.651000  -1.651000   1.630   6.92     0   7.109381  13.254364      2
76     RUBI -71.423764   3.793398  -3.890  10.80     0  11.479203 -19.808269      0
77     SAGA -67.057781  -0.143853  -4.000  11.50     0  12.175796 -19.179008      0
78     SAMA -74.187095  11.225252  10.740  15.85     0  19.146020  34.121666      1
79     SCEC -89.614983  -0.902689  52.000   8.80     0  52.739359  80.394796      3
80     SEEC -80.904000  -2.220000   9.850  13.14     0  16.422000  36.855942      1
81     SINC -75.387688   9.315625  11.460  12.30     0  16.811353  42.975235      1
82     SNLR -78.847000   1.293000  10.360   8.53     0  13.419780  50.533356      1
83     SNSN -75.308342   5.715076   4.925  15.60     0  16.358962  17.521174      2
84     STEC -78.011000  -3.051000   0.500   8.27     0   8.285101   3.459862      2
85     TNEC -77.816000  -0.990000  -1.120  12.00     0  12.052153  -5.332159      0
86     TUMA -78.730413   1.822289  14.730  12.92     0  19.593348  48.745302      1
87     TUNA -73.363890   5.531339   1.157  14.71     0  14.755431   4.497282      2
88     VALL -73.251960  10.473964   8.660  15.18     0  17.476499  29.704217      1
89     VIVI -73.583996   4.074673  -4.000  11.84     0  12.497424 -18.666914      0
90     YOPA -72.388994   5.321760  -3.100  12.67     0  13.043730 -13.748595      0
91     ZARZ -76.067578   4.396617   4.187  15.34     0  15.901150  15.266812      2

[92 rows x 9 columns]
